"Hh_ID";"gruppe";"att1";"att2";"att3";"att4";"att5";"att6";"att7";"att8";"att9";"att10";"beobachten";"vergleichen";"austauschen";"was_andere_tun";"messen1";"messen2";"gesl";"alter";"miete";"einkommen";"X03d_longhair";"X05a_goal_yn";"X06a_readable";"X08b_hhcomp_income";"X12b_underst_vol";"X12c_underst_ener";"sem01_verstaendlich";"sem04_wirksam";"sem05_unnuetz";"sem11_nervig"
4767;6;"Indifferent";"Indifferent";"Stimme zu";"Indifferent";"Stimme nicht zu";"Stimme eher zu";"Stimme nicht zu";"Indifferent";"Indifferent";"Stimme eher nicht zu";"Eher selten";"Eher selten";"Oft";"Eher oft";"Eher oft";"Oft";"männlich";"30-39";"Mietwohnung";"Mehr als 15000 Fr.";1;"Nein";4;30;"5";"-1";-3;1;-1;1
4778;4;"Stimme eher zu";"Indifferent";"Stimme eher zu";"Stimme eher nicht zu";"Indifferent";"Stimme eher nicht zu";"Indifferent";"Indifferent";"Stimme eher zu";"Indifferent";"Selten";"Eher selten";"Eher oft";"Selten";"Selten";"Oft";"männlich";"20-29";"Mietwohnung";"12000 - 14999 Fr.";1;"Ja";4;10;"5";"3";-2;0;2;2
4784;4;"Stimme eher zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Indifferent";"Stimme nicht zu";"Stimme eher nicht zu";"Stimme zu";"Eher oft";"Eher selten";"Oft";"Eher oft";"Eher selten";"Eher oft";"männlich";"65+";"Eigentumswohnung";"10000 - 11999 Fr.";0;"Ja";5;20;"5";"-1";1;0;0;1
4801;5;"Stimme eher nicht zu";"Stimme eher zu";"Stimme zu";"Stimme zu";"Indifferent";"Stimme zu";"Indifferent";"Stimme nicht zu";"Stimme eher zu";"Stimme eher nicht zu";"Eher selten";"Selten";"Selten";"Eher oft";"Selten";"Eher selten";"männlich";"20-29";"Mietwohnung";"7000 - 7999 Fr.";0;"Ja";5;40;"5";"4";-2;-3;3;3
4838;3;"Stimme eher nicht zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme zu";"Stimme nicht zu";"Indifferent";"Stimme eher zu";"Eher oft";"Selten";"Oft";"Selten";"Selten";"Oft";"männlich";"40-49";"Mietwohnung";"7000 - 7999 Fr.";0;"Ja";4;33;"4";"4";-2;-2;2;1
4847;4;"Stimme nicht zu";"Stimme eher zu";"Stimme zu";"Stimme zu";"Indifferent";"Stimme eher zu";"Stimme eher zu";"Stimme nicht zu";"Stimme eher zu";"Stimme eher zu";"Nie";NA;NA;NA;NA;NA;"weiblich";"40-49";"Mietwohnung";"4000 - 4999 Fr.";1;"Nein";5;70;"5";"4";-3;-2;2;2
4866;4;"Stimme nicht zu";"Stimme nicht zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher nicht zu";"Stimme eher nicht zu";"Stimme eher zu";"Stimme zu";"Selten";"Eher oft";"Oft";"Oft";"Eher oft";"Selten";"weiblich";"30-39";"Mietwohnung";"8000 - 8999 Fr.";1;"Nein";4;70;"4";"4";2;1;-2;0
4879;4;"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme eher zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Selten";"Selten";"Eher oft";"Selten";"Eher selten";"Eher oft";"männlich";"30-39";"Mietwohnung";"8000 - 8999 Fr.";1;"Ja";5;75;"5";"5";-3;-3;3;3
4884;3;"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Indifferent";"Stimme nicht zu";"Stimme eher zu";"Stimme eher zu";"Eher oft";"Selten";"Oft";"Eher oft";"Eher selten";"Eher oft";"weiblich";"30-39";"Mietwohnung";"4000 - 4999 Fr.";1;"Nein";5;60;"5";"4";-3;-2;2;1
4900;6;"Indifferent";"Indifferent";"Stimme eher zu";"Stimme eher zu";"Indifferent";"Stimme eher zu";"Indifferent";"Indifferent";"Indifferent";"Indifferent";"Selten";"Selten";"Eher selten";"Selten";"Selten";"Selten";"männlich";"65+";"Eigentumswohnung";"10000 - 11999 Fr.";0;"Nein";3;25;"4";"4";-2;1;2;0
